market_name,district_name,state,commodity,variety,grade,price_date,modal_price,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_change_3d,price_change_7d,price_change_14d,price_change_30d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,rolling_std_30d,price_vs_ma7,price_vs_ma30,month,day_of_week,crash
Ernakulam,Ernakulam,Kerala,Brinjal,Brinjal,FAQ,2025-01-18,5000.0,5000.0,5000.0,3300.0,4800.0,4700.0,0.0,0.5151515151515151,0.0416666666666667,0.0638297872340425,5000.0,4700.0,0.0,550.0000000000009,0.0,0.0638297872340425,1,5,1
Dhuri,Sangrur,Punjab,Banana,Other,Medium,2025-01-20,1700.0,1700.0,1600.0,1600.0,1750.0,1800.0,0.0625,0.0625,-0.0285714285714285,-0.0555555555555555,1716.6666666666667,1871.0526315789475,75.27726527091056,616.7377863209156,-0.0097087378640776,-0.091420534458509,1,0,0
Dasuya,Hoshiarpur,Punjab,Cabbage,Other,FAQ,2025-01-23,700.0,800.0,900.0,900.0,1400.0,1750.0,-0.2222222222222222,-0.2222222222222222,-0.5,-0.6,760.0,787.5,89.44271909999159,83.45229603965015,-0.0789473684210526,-0.1111111111111111,1,3,0
Patan(F&V),Jabalpur,Madhya Pradesh,Brinjal,Arkasheela Mattigulla,FAQ,2025-01-26,2000.0,2000.0,2000.0,2000.0,3000.0,2000.0,0.0,0.0,-0.3333333333333333,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,1,6,0
Dhariwal,Gurdaspur,Punjab,Brinjal,Brinjal,FAQ,2025-01-28,800.0,800.0,800.0,800.0,900.0,900.0,0.0,0.0,-0.1111111111111111,-0.1111111111111111,800.0,813.3333333333334,0.0,35.186577527436505,0.0,-0.0163934426229508,1,1,0
Siyana,Bulandshahar,Uttar Pradesh,Green Chilli,Green Chilly,FAQ,2025-01-31,2560.0,2560.0,2560.0,2700.0,2450.0,3000.0,0.0,-0.0518518518518518,0.0448979591836735,-0.1466666666666666,2560.0,2546.190476190476,0.0,100.72120881304922,0.0,0.0054236020198241,1,4,0
Samrala,Ludhiana,Punjab,Green Chilli,Other,FAQ,2025-01-31,2500.0,2500.0,2200.0,2200.0,2200.0,1800.0,0.1363636363636364,0.1363636363636364,0.1363636363636364,0.3888888888888888,2500.0,2183.333333333333,0.0,209.3407017561692,0.0,0.1450381679389312,1,4,0
Alipurduar,Alipurduar,West Bengal,Garlic,Garlic,FAQ,2025-02-02,20000.0,21000.0,25000.0,25000.0,26000.0,30000.0,-0.1999999999999999,-0.1999999999999999,-0.2307692307692307,-0.3333333333333333,22600.0,26928.571428571428,2302.1728866442754,3054.184396535728,-0.1150442477876105,-0.2572944297082228,2,6,0
Nagina,Bijnor,Uttar Pradesh,Garlic,Garlic,FAQ,2025-02-03,12000.0,12000.0,18000.0,20000.0,20000.0,13000.0,-0.3333333333333333,-0.4,-0.4,-0.0769230769230768,14400.0,16888.88888888889,3286.335345030997,3756.4758898615514,-0.1666666666666666,-0.2894736842105264,2,0,1
Shahjahanpur,Shahjahanpur,Uttar Pradesh,Garlic,Desi,FAQ,2025-02-06,18720.0,18755.0,18810.0,19700.0,17490.0,16215.0,-0.0047846889952153,-0.0497461928934009,0.0703259005145797,0.154486586493987,18758.75,18871.42857142857,37.50000000000034,540.8381942697382,-0.0020657026720863,-0.0080242240726722,2,3,0
Divai,Bulandshahar,Uttar Pradesh,Green Chilli,Green Chilly,FAQ,2025-02-09,1900.0,1900.0,2000.0,1100.0,1100.0,1100.0,-0.05,0.7272727272727273,0.7272727272727273,0.7272727272727273,1966.6666666666667,1618.1818181818182,81.64965809277265,419.0899230909324,-0.0338983050847457,0.1741573033707864,2,6,0
Divai,Bulandshahar,Uttar Pradesh,Brinjal,Brinjal,FAQ,2025-02-09,1200.0,900.0,1200.0,1400.0,1050.0,1400.0,0.0,-0.1428571428571429,0.1428571428571428,-0.1428571428571429,1070.0,1195.0,156.52475842498524,195.00712237705008,0.1214953271028036,0.0041841004184099,2,6,1
Nadiyad(Chaklasi),Kheda,Gujarat,Cabbage,Cabbage,FAQ,2025-02-10,450.0,400.0,1050.0,1350.0,1600.0,1800.0,-0.5714285714285714,-0.6666666666666667,-0.71875,-0.75,466.6666666666667,892.8571428571429,76.37626158259734,408.6854652710438,-0.0357142857142857,-0.496,2,0,0
Muktsar,Muktsar,Punjab,Banana,Banana - Ripe,Medium,2025-02-12,3500.0,3500.0,3500.0,1800.0,1800.0,2500.0,0.0,0.9444444444444444,0.9444444444444444,0.3999999999999999,3500.0,2437.5,0.0,850.0000000000001,0.0,0.4358974358974359,2,2,0
Fatehpur Sikri,Agra,Uttar Pradesh,Cabbage,Cabbage,FAQ,2025-02-13,530.0,515.0,520.0,640.0,860.0,2170.0,0.0192307692307691,-0.171875,-0.3837209302325581,-0.7557603686635945,516.25,615.0,12.500000000000073,94.1970112215738,0.026634382566586,-0.1382113821138211,2,3,0
Gajol,Malda,West Bengal,Cabbage,Other,FAQ,2025-02-18,1000.0,950.0,850.0,850.0,900.0,1100.0,0.1764705882352941,0.1764705882352941,0.1111111111111111,-0.0909090909090909,900.0,965.625,63.24555320344928,123.4487072971729,0.1111111111111111,0.035598705501618,2,1,0
Falakata,Alipurduar,West Bengal,Garlic,Garlic,FAQ,2025-02-23,15000.0,15000.0,17000.0,22000.0,22000.0,28000.0,-0.1176470588235294,-0.3181818181818182,-0.3181818181818182,-0.4642857142857143,15000.0,19166.666666666668,0.0,3325.74894732092,0.0,-0.2173913043478261,2,6,0
Samana,Patiala,Punjab,Cabbage,Other,FAQ,2025-02-24,2800.0,3000.0,2500.0,1000.0,3500.0,4000.0,0.1200000000000001,1.7999999999999998,-0.1999999999999999,-0.3,2933.333333333333,2166.6666666666665,115.47005383792522,850.0000000000015,-0.0454545454545455,0.2923076923076924,2,0,1
Visoli,Badaun,Uttar Pradesh,Green Chilli,Green Chilly,FAQ,2025-02-24,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,2,0,0
Varanasi,Varanasi,Uttar Pradesh,Cabbage,Cabbage,FAQ,2025-02-26,580.0,550.0,580.0,550.0,520.0,875.0,0.0,0.0545454545454544,0.1153846153846154,-0.3371428571428572,568.0,557.6470588235294,12.54990039801112,23.459915751312327,0.0211267605633802,0.040084388185654,2,2,0
Varanasi,Varanasi,Uttar Pradesh,Brinjal,Brinjal,FAQ,2025-02-27,1250.0,1215.0,1250.0,1320.0,1435.0,1620.0,0.0,-0.0530303030303029,-0.1289198606271777,-0.228395061728395,1245.0,1334.2105263157894,18.97366596101022,122.82850689177356,0.0040160642570281,-0.0631163708086783,2,3,0
Varanasi,Varanasi,Uttar Pradesh,Garlic,Garlic,FAQ,2025-02-27,9850.0,9900.0,10500.0,13700.0,17800.0,21000.0,-0.0619047619047619,-0.281021897810219,-0.4466292134831461,-0.530952380952381,10310.0,15111.190476190475,610.7372593840996,3504.273071823118,-0.0446168768186227,-0.3481651882080452,2,3,0
Varanasi,Varanasi,Uttar Pradesh,Green Chilli,Green Chilly,FAQ,2025-02-27,2750.0,2730.0,2780.0,2630.0,2865.0,2070.0,-0.0107913669064748,0.0456273764258554,-0.0401396160558463,0.3285024154589371,2759.0,2758.9473684210525,23.021728866442853,106.7392844917107,-0.0032620514679231,-0.0032430370087752,2,3,0
Sultanpur,kapurthala,Punjab,Brinjal,Other,FAQ,2025-03-03,1000.0,1000.0,1500.0,2000.0,1000.0,2000.0,-0.3333333333333333,-0.5,0.0,-0.5,1125.0,1371.428571428571,250.0,447.9501542128807,-0.1111111111111111,-0.2708333333333332,3,0,0
Hanumangarh(Urlivas),Hanumangarh,Rajasthan,Garlic,Average,FAQ,2025-03-08,7000.0,8000.0,8000.0,8000.0,10000.0,3000.0,-0.125,-0.125,-0.3,1.3333333333333337,7857.142857142857,9041.666666666666,377.9644730092272,1082.6363421183332,-0.109090909090909,-0.2258064516129031,3,5,0
Sitapur,Sitapur,Uttar Pradesh,Cabbage,Cabbage,FAQ,2025-03-10,885.0,890.0,890.0,880.0,870.0,1060.0,-0.0056179775280899,0.0056818181818181,0.0172413793103447,-0.1650943396226415,884.2857142857143,886.0714285714286,5.345224838275533,34.89022846482976,0.0008077544426494,-0.0012091898428052,3,0,0
Mehmoodabad,Sitapur,Uttar Pradesh,Cabbage,Cabbage,FAQ,2025-03-11,910.0,880.0,850.0,880.0,870.0,1155.0,0.0705882352941176,0.0340909090909091,0.0459770114942528,-0.2121212121212121,871.6666666666666,878.75,23.166067138526174,46.77071733467369,0.0439770554493308,0.0355618776671409,3,1,0
Faridkot,Faridkot,Punjab,Cabbage,Cabbage,FAQ,2025-03-13,200.0,400.0,250.0,700.0,700.0,3000.0,-0.1999999999999999,-0.7142857142857143,-0.7142857142857143,-0.9333333333333332,300.0,278.57142857142856,100.0,69.86381310057693,-0.3333333333333333,-0.282051282051282,3,3,0
Nawabganj,Gonda,Uttar Pradesh,Cabbage,Cabbage,FAQ,2025-03-15,710.0,690.0,610.0,750.0,650.0,660.0,0.1639344262295081,-0.0533333333333333,0.0923076923076922,0.0757575757575756,635.0,629.1379310344828,50.89204259998297,46.215121317828746,0.1181102362204724,0.1285283639353247,3,5,0
Nawabganj,Gonda,Uttar Pradesh,Banana,Other,Medium,2025-03-15,2975.0,2980.0,2980.0,3000.0,2980.0,2900.0,-0.0016778523489933,-0.0083333333333333,-0.0016778523489933,0.0258620689655173,2980.833333333333,2969.6428571428573,18.551729479126006,60.84175849463508,-0.0019569471624266,0.0018039687312085,3,5,0
Barnala,Barnala,Punjab,Green Chilli,Other,FAQ,2025-03-15,5000.0,4700.0,5250.0,3250.0,2900.0,3250.0,-0.0476190476190476,0.5384615384615385,0.7241379310344827,0.5384615384615385,4890.0,3905.8823529411766,292.4038303442689,980.0960337100228,0.0224948875255623,0.2801204819277108,3,5,0
Indore,Indore,Madhya Pradesh,Garlic,Average,FAQ,2025-03-15,1500.0,2800.0,3000.0,6154.0,8500.0,18000.0,-0.5,-0.7562560935976601,-0.8235294117647058,-0.9166666666666666,3100.0,4058.357142857143,1769.1806012954137,1719.291160160643,-0.5161290322580645,-0.630392312160093,3,5,0
Banur,Mohali,Punjab,Cabbage,Other,FAQ,2025-03-16,1200.0,1200.0,1000.0,1000.0,1000.0,1222.0,0.1999999999999999,0.1999999999999999,0.1999999999999999,-0.0180032733224222,1071.428571428571,1069.5652173913045,125.3566341056028,105.6356629204068,0.1200000000000001,0.1219512195121952,3,6,0
Pipariya(F&V),Hoshangabad,Madhya Pradesh,Brinjal,Arkasheela Mattigulla,FAQ,2025-03-16,700.0,700.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,691.6666666666666,713.4615384615385,20.412414523193164,38.87850899325405,0.0120481927710844,-0.0188679245283018,3,6,0
Doraha,Ludhiana,Punjab,Brinjal,Other,FAQ,2025-03-17,1400.0,1500.0,1500.0,1500.0,1300.0,1500.0,-0.0666666666666666,-0.0666666666666666,0.0769230769230768,-0.0666666666666666,1450.0,1427.2727272727273,57.735026918962646,155.50504230351564,-0.0344827586206896,-0.019108280254777,3,0,0
Sitmau,Mandsaur,Madhya Pradesh,Garlic,Desi,FAQ,2025-03-17,3300.0,4000.0,4000.0,5840.0,12200.0,23000.0,-0.175,-0.434931506849315,-0.7295081967213115,-0.8565217391304347,3936.6666666666665,4935.454545454545,607.4811382531426,1301.3251986829705,-0.161727349703641,-0.3313685761650395,3,0,0
Barnala,Barnala,Punjab,Garlic,Average,FAQ,2025-03-18,5500.0,7000.0,8250.0,7500.0,7000.0,24500.0,-0.3333333333333333,-0.2666666666666667,-0.2142857142857143,-0.7755102040816326,6562.5,7093.75,1328.7682265918313,916.8560410447116,-0.1619047619047618,-0.224669603524229,3,1,0
Sheopurkalan(F&V),Sheopur,Madhya Pradesh,Brinjal,Arkasheela Mattigulla,FAQ,2025-03-18,600.0,600.0,650.0,900.0,600.0,2500.0,-0.0769230769230768,-0.3333333333333333,0.0,-0.76,616.6666666666666,860.7142857142857,28.8675134594813,307.7077606009745,-0.0270270270270269,-0.3029045643153526,3,1,0
Dinhata,Coochbehar,West Bengal,Cabbage,Cabbage,FAQ,2025-03-18,550.0,550.0,525.0,600.0,700.0,625.0,0.0476190476190476,-0.0833333333333333,-0.2142857142857143,-0.12,545.0,622.6190476190476,11.18033988749904,63.6910324853316,0.0091743119266054,-0.1166347992351816,3,1,0
Barnala,Barnala,Punjab,Cabbage,Other,FAQ,2025-03-18,500.0,400.0,500.0,400.0,450.0,700.0,0.0,0.25,0.1111111111111111,-0.2857142857142857,450.0,465.625,57.73502691896259,56.91733772179276,0.1111111111111111,0.0738255033557047,3,1,1
Barnala,Barnala,Punjab,Brinjal,Other,FAQ,2025-03-18,1400.0,1250.0,1250.0,1250.0,1250.0,1250.0,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.1200000000000001,1350.0,1276.6666666666667,122.47448713915894,109.97835284835442,0.0370370370370369,0.0966057441253263,3,1,0
Gonda,Gonda,Uttar Pradesh,Garlic,Average,FAQ,2025-03-18,5700.0,5800.0,6000.0,6200.0,6500.0,14500.0,-0.05,-0.0806451612903226,-0.123076923076923,-0.6068965517241379,5933.333333333333,6495.238095238095,196.63841605004336,714.4761650859166,-0.0393258426966292,-0.1224340175953079,3,1,0
Mekhliganj,Coochbehar,West Bengal,Cabbage,Cabbage,FAQ,2025-03-19,550.0,550.0,525.0,575.0,675.0,625.0,0.0476190476190476,-0.0434782608695651,-0.1851851851851852,-0.12,540.0,614.5833333333334,13.693063937626018,61.642670615248925,0.0185185185185186,-0.1050847457627118,3,2,0
Bhucho,Bhatinda,Punjab,Green Chilli,Other,FAQ,2025-03-19,1550.0,1600.0,1700.0,1400.0,1300.0,1400.0,-0.088235294117647,0.1071428571428572,0.1923076923076923,0.1071428571428572,1610.0,1425.0,89.44271909999156,146.18155704139792,-0.0372670807453415,0.087719298245614,3,2,0
Toofanganj,Coochbehar,West Bengal,Cabbage,Cabbage,FAQ,2025-03-20,525.0,550.0,525.0,550.0,650.0,625.0,0.0,-0.0454545454545454,-0.1923076923076923,-0.16,537.5,613.2142857142857,13.693063937629349,64.5527961599127,-0.0232558139534884,-0.1438555620267908,3,3,0
Uluberia,Howrah,West Bengal,Cabbage,Other,FAQ,2025-03-20,700.0,700.0,700.0,700.0,700.0,800.0,0.0,0.0,0.0,-0.125,700.0,748.2758620689655,0.0,50.85476277154891,0.0,-0.064516129032258,3,3,0
Alappuzha,Alappuzha,Kerala,Cabbage,Other,FAQ,2025-03-21,4900.0,5100.0,5500.0,5600.0,5500.0,5900.0,-0.1090909090909091,-0.125,-0.1090909090909091,-0.1694915254237288,5333.333333333333,5485.714285714285,585.9465277082313,649.1753010001,-0.0812499999999999,-0.1067708333333332,3,4,0
